Author,Title,Year
Ursula K. Le Guin,Rocannon's World,1966
Ursula K. Le Guin,Planet of Exile,1966
Ursula K. Le Guin,City of Illusions,1967
Ursula K. Le Guin,A Wizard of Earthsea,1968
Ursula K. Le Guin,The Left Hand of Darkness,1969
Ursula K. Le Guin,The Tombs of Atuan,1971
Ursula K. Le Guin,The Farthest Shore,1972
Ursula K. Le Guin,The Dispossessed,1974
Ursula K. Le Guin,The Word for World Is Forest,1976
Ursula K. Le Guin,Tehanu,1990
Ursula K. Le Guin,The Telling,2000
Ursula K. Le Guin,The Other Wind,2001
Ursula K. Le Guin,Lavinia,2008
Ayn Rand,We the Living,1936
Ayn Rand,Anthem,1938
Ayn Rand,The Fountainhead,1943
Ayn Rand,Atlas Shrugged,1957
Paulo Coelho,The Pilgrimage,1987
Paulo Coelho,The Alchemist,1988
Paulo Coelho,The Valkyries,1992
Paulo Coelho,By the River Piedra I Sat Down and Wept,1994
Paulo Coelho,The Fifth Mountain,1996
Paulo Coelho,Veronika Decides to Die,1998
Paulo Coelho,The Devil and Miss Prym,2000
Paulo Coelho,Eleven Minutes,2003
Paulo Coelho,The Zahir,2005
Paulo Coelho,The Witch of Portobello,2006
Paulo Coelho,The Winner Stands Alone,2008
Paulo Coelho,Aleph,2010
Paulo Coelho,Manuscript Found in Accra,2012
Paulo Coelho,Adultery,2014
Paulo Coelho,Hippie,2018
John Grisham,A Time to Kill,1989
John Grisham,The Firm,1991
John Grisham,The Pelican Brief,1992
John Grisham,The Client,1993
John Grisham,The Chamber,1994
John Grisham,The Rainmaker,1995
John Grisham,The Runaway Jury,1996
John Grisham,The Partner,1997
John Grisham,The Street Lawyer,1998
John Grisham,The Testament,1999
John Grisham,The Brethren,2000
John Grisham,The Summons,2002
John Grisham,The King of Torts,2003
John Grisham,The Last Juror,2004
John Grisham,The Broker,2005
John Grisham,The Appeal,2008
John Grisham,The Confession,2010
John Grisham,Sycamore Row,2013
John Grisham,Camino Island,2017
John Grisham,The Guardians,2019
Dan Brown,Digital Fortress,1998
Dan Brown,Angels & Demons,2000
Dan Brown,Deception Point,2001
Dan Brown,The Da Vinci Code,2003
Dan Brown,The Lost Symbol,2009
Dan Brown,Inferno,2013
Dan Brown,Origin,2017
John le Carré,Call for the Dead,1961
John le Carré,A Murder of Quality,1962
John le Carré,The Spy Who Came in from the Cold,1963
John le Carré,The Looking Glass War,1965
John le Carré,A Small Town in Germany,1968
John le Carré,Tinker Tailor Soldier Spy,1974
John le Carré,The Honourable Schoolboy,1977
John le Carré,Smiley's People,1979
John le Carré,The Little Drummer Girl,1983
John le Carré,A Perfect Spy,1986
John le Carré,The Russia House,1989
John le Carré,The Night Manager,1993
John le Carré,Our Game,1995
John le Carré,The Tailor of Panama,1996
John le Carré,The Constant Gardener,2001
John le Carré,Absolute Friends,2003
John le Carré,A Most Wanted Man,2008
John le Carré,A Legacy of Spies,2017
Ian Fleming,Casino Royale,1953
Ian Fleming,Live and Let Die,1954
Ian Fleming,Moonraker,1955
Ian Fleming,Diamonds Are Forever,1956
Ian Fleming,"From Russia, with Love",1957
Ian Fleming,Dr. No,1958
Ian Fleming,Goldfinger,1959
Ian Fleming,Thunderball,1961
Ian Fleming,The Spy Who Loved Me,1962
Ian Fleming,On Her Majesty's Secret Service,1963
Ian Fleming,You Only Live Twice,1964
Ian Fleming,The Man with the Golden Gun,1965
Michael Crichton,The Andromeda Strain,1969
Michael Crichton,The Terminal Man,1972
Michael Crichton,The Great Train Robbery,1975
Michael Crichton,Congo,1980
Michael Crichton,Sphere,1987
Michael Crichton,Jurassic Park,1990
Michael Crichton,Rising Sun,1992
Michael Crichton,Disclosure,1994
Michael Crichton,The Lost World,1995
Michael Crichton,Airframe,1996
Michael Crichton,Timeline,1999
Michael Crichton,Prey,2002
Michael Crichton,State of Fear,2004
Michael Crichton,Next,2006
Michael Crichton,Pirate Latitudes,2009
Michael Crichton,Micro,2011
Tom Clancy,The Hunt for Red October,1984
Tom Clancy,Red Storm Rising,1986
Tom Clancy,Patriot Games,1987
Tom Clancy,The Cardinal of the Kremlin,1988
Tom Clancy,Clear and Present Danger,1989
Tom Clancy,The Sum of All Fears,1991
Tom Clancy,Without Remorse,1993
Tom Clancy,Debt of Honor,1994
Tom Clancy,Executive Orders,1996
Tom Clancy,Rainbow Six,1998
Tom Clancy,The Bear and the Dragon,2000
Tom Clancy,Red Rabbit,2002
Tom Clancy,The Teeth of the Tiger,2003
Tom Clancy,Dead or Alive,2010
Tom Clancy,Against All Enemies,2011
Nicholas Sparks,The Notebook,1996
Nicholas Sparks,Message in a Bottle,1998
Nicholas Sparks,A Walk to Remember,1999
Nicholas Sparks,The Rescue,2000
Nicholas Sparks,A Bend in the Road,2001
Nicholas Sparks,Nights in Rodanthe,2002
Nicholas Sparks,The Wedding,2003
Nicholas Sparks,True Believer,2005
Nicholas Sparks,Dear John,2006
Nicholas Sparks,The Choice,2007
Nicholas Sparks,The Lucky One,2008
Nicholas Sparks,The Last Song,2009
Nicholas Sparks,Safe Haven,2010
Nicholas Sparks,The Longest Ride,2013
Nicholas Sparks,Every Breath,2018
John Green,Looking for Alaska,2005
John Green,An Abundance of Katherines,2006
John Green,Paper Towns,2008
John Green,The Fault in Our Stars,2012
John Green,Turtles All the Way Down,2017
Sally Rooney,Conversations with Friends,2017
Sally Rooney,Normal People,2018
Sally Rooney,"Beautiful World, Where Are You",2021
Sally Rooney,Intermezzo,2024
Donna Tartt,The Secret History,1992
Donna Tartt,The Little Friend,2002
Donna Tartt,The Goldfinch,2013
Khaled Hosseini,The Kite Runner,2003
Khaled Hosseini,A Thousand Splendid Suns,2007
Khaled Hosseini,And the Mountains Echoed,2013
Haruki Murakami,Hear the Wind Sing,1979
Haruki Murakami,"Pinball, 1973",1980
Haruki Murakami,A Wild Sheep Chase,1982
Haruki Murakami,Hard-Boiled Wonderland and the End of the World,1985
Haruki Murakami,Norwegian Wood,1987
Haruki Murakami,Dance Dance Dance,1988
Haruki Murakami,"South of the Border, West of the Sun",1992
Haruki Murakami,The Wind-Up Bird Chronicle,1994
Haruki Murakami,Sputnik Sweetheart,1999
Haruki Murakami,Kafka on the Shore,2002
Haruki Murakami,After Dark,2004
Haruki Murakami,1Q84,2009
Haruki Murakami,Colorless Tsukuru Tazaki and His Years of Pilgrimage,2013
Haruki Murakami,Killing Commendatore,2017
Elena Ferrante,Troubling Love,1992
Elena Ferrante,The Days of Abandonment,2002
Elena Ferrante,The Lost Daughter,2006
Elena Ferrante,My Brilliant Friend,2011
Elena Ferrante,The Story of a New Name,2012
Elena Ferrante,Those Who Leave and Those Who Stay,2013
Elena Ferrante,The Story of the Lost Child,2014
Elena Ferrante,The Lying Life of Adults,2019
Chimamanda Ngozi Adichie,Purple Hibiscus,2003
Chimamanda Ngozi Adichie,Half of a Yellow Sun,2006
Chimamanda Ngozi Adichie,Americanah,2013
Zadie Smith,White Teeth,2000
Zadie Smith,The Autograph Man,2002
Zadie Smith,On Beauty,2005
Zadie Smith,NW,2012
Zadie Smith,Swing Time,2016
Zadie Smith,The Fraud,2023
Alice Walker,The Third Life of Grange Copeland,1970
Alice Walker,Meridian,1976
Alice Walker,The Color Purple,1982
Alice Walker,The Temple of My Familiar,1989
Alice Walker,Possessing the Secret of Joy,1992
Alice Walker,By the Light of My Father's Smile,1998
Alice Walker,Now Is the Time to Open Your Heart,2004
James Baldwin,Go Tell It on the Mountain,1953
James Baldwin,Giovanni's Room,1956
James Baldwin,Another Country,1962
James Baldwin,Tell Me How Long the Train's Been Gone,1968
James Baldwin,If Beale Street Could Talk,1974
James Baldwin,Just Above My Head,1979
Richard Wright,Lawd Today!,1963
Richard Wright,Native Son,1940
Richard Wright,The Outsider,1953
Richard Wright,Savage Holiday,1954
Richard Wright,The Long Dream,1958
Ralph Ellison,Invisible Man,1952
W. Somerset Maugham,Liza of Lambeth,1897
W. Somerset Maugham,Of Human Bondage,1915
W. Somerset Maugham,The Moon and Sixpence,1919
W. Somerset Maugham,The Painted Veil,1925
W. Somerset Maugham,Cakes and Ale,1930
W. Somerset Maugham,The Narrow Corner,1932
W. Somerset Maugham,Theatre,1937
W. Somerset Maugham,Christmas Holiday,1939
W. Somerset Maugham,The Razor's Edge,1944
W. Somerset Maugham,Then and Now,1946
W. Somerset Maugham,Catalina,1948
E. M. Forster,Where Angels Fear to Tread,1905
E. M. Forster,The Longest Journey,1907
E. M. Forster,A Room with a View,1908
E. M. Forster,Howards End,1910
E. M. Forster,Maurice,1971
E. M. Forster,A Passage to India,1924
D. H. Lawrence,The White Peacock,1911
D. H. Lawrence,The Trespasser,1912
D. H. Lawrence,Sons and Lovers,1913
D. H. Lawrence,The Rainbow,1915
D. H. Lawrence,Women in Love,1920
D. H. Lawrence,The Lost Girl,1920
D. H. Lawrence,Aaron's Rod,1922
D. H. Lawrence,Kangaroo,1923
D. H. Lawrence,The Plumed Serpent,1926
D. H. Lawrence,Lady Chatterley's Lover,1928
Anthony Trollope,The Warden,1855
Anthony Trollope,Barchester Towers,1857
Anthony Trollope,Doctor Thorne,1858
Anthony Trollope,Framley Parsonage,1861
Anthony Trollope,Can You Forgive Her?,1864
Anthony Trollope,The Small House at Allington,1864
Anthony Trollope,The Last Chronicle of Barset,1867
Anthony Trollope,Phineas Finn,1869
Anthony Trollope,The Eustace Diamonds,1871
Anthony Trollope,Phineas Redux,1873
Anthony Trollope,The Way We Live Now,1875
Anthony Trollope,The Prime Minister,1876
Anthony Trollope,The Duke's Children,1879
Nikolai Gogol,Taras Bulba,1835
Nikolai Gogol,Dead Souls,1842
Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,1962
Aleksandr Solzhenitsyn,Cancer Ward,1966
Aleksandr Solzhenitsyn,The First Circle,1968
Aleksandr Solzhenitsyn,August 1914,1971
Mikhail Bulgakov,The White Guard,1925
Mikhail Bulgakov,The Master and Margarita,1966
Umberto Eco,The Name of the Rose,1980
Umberto Eco,Foucault's Pendulum,1988
Umberto Eco,The Island of the Day Before,1994
Umberto Eco,Baudolino,2000
Umberto Eco,The Mysterious Flame of Queen Loana,2004
Umberto Eco,The Prague Cemetery,2010
Umberto Eco,Numero Zero,2015
